UNITID,CONTROL,SAT_AVG,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,C150_4,PFTFTUG1_EF,RET_FT4,RET_PT4,C200_4_POOLED,PCTFLOAN
215442,2,1097,3062,0.7051,0.1391,0.0614,0.0134,0.0016,0.0007,0.0431,0.0333,0.0023,32750,32750,16250,9124,8371,0.216,0.418,0.5996,0.6756,0.7512,0,0.5742,0.7612
215929,2,1226,3675,0.7771,0.0218,0.1045,0.0335,0.0014,0.0027,0.0199,0.0087,0.0305,45790,45790,21664,12679,10468,0.68,0.1984,0.8326,0.9558,0.8809,0.6667,0.7835,0.6525
216366,2,1171,3600,0.56,0.1431,0.1075,0.065,0.0022,0.0008,0.0747,0.0178,0.0289,41866,41866,28795,25397,8920,0.2189,0.3158,0.6983,0.7045,0.8396,0.2857,NULL,0.6561
216597,2,1422,6779,0.7348,0.0504,0.0825,0.0564,0.0004,0.0001,0.0302,0.027,0.0181,55280,55280,30433,16262,11528,0.6368,0.1019,0.8981,0.9596,0.9561,0.3333,0.9054,0.41
216931,2,1123,2233,0.7425,0.043,0.0743,0.0251,0.0018,0.0013,0.0291,0.0555,0.0273,37622,37622,18028,10044,9128,0.4449,0.3365,0.6323,0.7952,0.7797,0.6316,0.6127,0.7055
217059,2,1107,3939,0.7758,0.0599,0.0734,0.0211,0.0008,0.001,0.0327,0.014,0.0213,20885,20885,14600,9391,8997,0.4027,0.2637,0.6332,0.8433,0.8133,0.5,0.5914,0.6731
217402,2,1298,4046,0.7627,0.0376,0.105,0.0136,0.0015,0.0027,0.0203,0.019,0.0376,52438,52438,30045,14856,10965,0.6479,0.1372,0.8704,0.9261,0.9117,1,0.8426,0.5102
217688,2,1165,2757,0.609,0.1893,0.0457,0.016,0.004,0.0025,0.0366,0.0112,0.0856,26000,26000,12942,8054,6039,0.6254,0.4482,0.4147,0.6737,0.6495,0.3333,0.3665,0.5912
217721,2,933,2034,0.0093,0.9071,0.028,0.0044,0.0113,0,0,0,0.0398,16600,16600,10025,4224,5808,0.7194,0.8231,0.2445,0.901,0.556,0,0.2441,0.7782
217907,2,1101,974,0.5472,0.3049,0.0257,0.0062,0.0062,0,0.0719,0.0339,0.0041,30196,30196,12018,6270,5651,0.6296,0.4726,0.3878,0.7507,0.6214,0,0.4796,0.6381
